bulbasaur;BULBASAUR
pichu;PICHU
cleffa;CLEFFA
igglybuff;IGGLYBUFF
togepi;TOGEPI
togetic;TOGETIC
natu;NATU
xatu;XATU
mareep;MAREEP
flaaffy;FLAAFFY
ampharos;AMPHAROS
bellossom;BELLOSSOM
marill;MARILL
azumarill;AZUMARILL
sudowoodo;SUDOWOODO
politoed;POLITOED
hoppip;HOPPIP
skiploom;SKIPLOOM
jumpluff;JUMPLUFF
aipom;AIPOM
sunkern;SUNKERN
sunflora;SUNFLORA
yanma;YANMA
wooper;WOOPER
quagsire;QUAGSIRE
espeon;ESPEON
umbreon;UMBREON
murkrow;MURKROW
slowking;SLOWKING
misdreavus;MISDREAVUS
unown;UNOWN
wobbuffet;WOBBUFFET
girafarig;GIRAFARIG
pineco;PINECO
forretress;FORRETRESS
dunsparce;DUNSPARCE
gligar;GLIGAR
steelix;STEELIX
snubbull;SNUBBULL
granbull;GRANBULL
qwilfish;QWILFISH
scizor;SCIZOR
shuckle;SHUCKLE
heracross;HERACROSS
sneasel;SNEASEL
teddiursa;TEDDIURSA
ursaring;URSARING
slugma;SLUGMA
magcargo;MAGCARGO
swinub;SWINUB
piloswine;PILOSWINE
corsola;CORSOLA
remoraid;REMORAID
octillery;OCTILLERY
delibird;DELIBIRD
mantine;MANTINE
skarmory;SKARMORY
houndour;HOUNDOUR
houndoom;HOUNDOOM
kingdra;KINGDRA
phanpy;PHANPY
donphan;DONPHAN
porygon2;PORYGON2
stantler
smeargle
tyrogue
hitmontop
smoochum
elekid
magby
miltank
blissey
larvitar
pupitar
tyranitar
treecko
grovyle
sceptile
torchic
combusken
blaziken
mudkip
marshtomp
swampert
poochyena
mightyena
zigzagoon
linoone
wurmple
silcoon
beautifly
cascoon
dustox
lotad
lombre
ludicolo
seedot
nuzleaf
shiftry
taillow
swellow
wingull
pelipper
ralts
kirlia
gardevoir
surskit
masquerain
shroomish
breloom
slakoth
vigoroth
slaking
nincada
ninjask
shedinja
whismur
loudred
exploud
makuhita
hariyama
azurill
nosepass
skitty
delcatty
sableye
mawile
aron
lairon
aggron
meditite
medicham
electrike
manectric
plusle
minun
volbeat
illumise
roselia
gulpin
swalot
carvanha
sharpedo
wailmer
wailord
numel
camerupt
torkoal
spoink
grumpig
spinda
trapinch
vibrava
flygon
cacnea
cacturne
swablu
altaria
zangoose
seviper
lunatone
solrock
barboach
whiscash
corphish
crawdaunt
baltoy
claydol
lileep
cardily
anorith
armaldo
feebas
milotic
castform
kecleon
shuppet
banette
duskull
dusclops
tropius
chimecho
absol
wynaut
snorunt
glalie
spheal
sealeo
walrein
clamperl
huntail
gorebyss
relicanth
luvdisc
bagon
shelgon
salamence
beldum
metang
metagross
turtwig
grotle
torterra
chimchar
monferno
infernape
piplup
prinplup
empoleon
starly
staravia
staraptor
bidoof
bibarel
kricketot
kricketune
shinx
luxio
luxray
budew
roserade
cranidos
rampardos
shieldon
bastiodon
burmy
wormadam
mothim
combee
vespiquen
pachirisu
buizel
floatzel
cherubi
cherrim
shellos
gastrodon
ambipom
drifloon
drifblim
buneary
lopunny
mismagius
honchkrow
glameow
purugly
chingling
stunky
skuntank
bronzor
bronzong
bonsly
mime jr
happiny
chatot
spiritomb
gible
gabite
garchomp
munchlax
riolu
lucario
hippopotas
hippowdon
skorupi
drapion
croagunk
toxicroak
carnivine
finneon
lumineon
mantyke
snover
abomasnow
weavile
magnezone
lickilicky
rhyperior
tangrowth
electrivire
magmortar
togekiss
yanmega
leafeon
glaceon
gliscor
mamoswine
porygon-z
gallade
probopass
dusknoir
froslass
rotom
snivy
servine
serperior
tepig
pignite
emboar
oshawott
dewott
samurott
patrat
watchog
lillipup
herdier
stoutland
purrloin
liepard
pansage
simisage
pansear
simisear
panpour
simipour
munna
musharna
pidove
tranquill
unfezant
blitzle
zebstrika
roggenrola
boldore
gigalith
woobat
swoobat
drilbur
excadrill
audino
timburr
gurdurr
conkeldurr
tympole
palpitoad
seismitoad
throh
sawk
sewaddle
swadloon
leavanny
venipede
whirlipede
scolipede
cottonee
whimsicott
petilil
lilligant
basculin
sandile
krokorok
krookodile
darumaka
darmanitan
maractus
dwebble
crustle
scraggy
scrafty
sigilyph
yamask
cofagrigus
tirtouga
carracosta
archen
archeops
trubbish
garbador
zorua
zoroark
minccino
cinccino
gothita
gothorita
gothitelle
solosis
duosion
reuniclus
ducklett
swanna
vanillite
vanillish
vanilluxe
deerling
sawsbuck
emolga
karrablast
escavalier
foongus
amoonguss
frillish
jellicent
alomomola
joltik
galvantula
ferroseed
ferrothorn
klink
klang
klinklang
tynamo
eelektrik
eelektross
elgyem
beheeyem
litwick
lampent
chandelure
axew
fraxure
haxorus
cubchoo
beartic
cryogonal
shelmet
accelgor
stunfisk
mienfoo
mienshao
druddigon
golett
golurk
pawniard
bisharp
bouffalant
rufflet
braviary
vullaby
mandibuzz
heatmor
durant
deino
zweilous
hydreigon
larvesta
volcarona
chespin
quilladin
chesnaught
fennekin
braixen
delphox
froakie
frogadier
greninja
bunnelby
diggersby
fletchling
fletchinder
talonflame
scatterbug
spewpa
vivillon
litleo
pyroar
flabebe
floette
florges
skiddo
gogoat
pancham
pangoro
furfrou
espurr
meowstic
honedge
doublade
aegislash
spritzee
aromatisse
swirlix
slurpuff
inkay
malamar
binacle
barbaracle
skrelp
dragalge
clauncher
clawitzer
helioptile
heliolisk
tyrunt
tyrantrum
amaura
aurorus
sylveon
hawlucha
dedenne
carbink
goomy
sliggoo
goodra
klefki
phantump
trevenant
pumpkaboo
gourgeist
bergmite
avalugg
noibat
noivern
rowlet
dartrix
decidueye
litten
torracat
incineroar
popplio
brionne
primarina
pikipek
trumbeak
toucannon
yungoos
gumshoos
grubbin
charjabug
vikavolt
crabrawler
crabominable
oricorio
cutiefly
ribombee
rockruff
lycanroc
wishiwashi
mareanie
toxapex
mudbray
mudsdale
dewpider
araquanid
fomantis
lurantis
morelull
shiinotic
salandit
salazzle
stufful
bewear
bounsweet
steenee
tsareena
comfey
oranguru
passimian
wimpod
golisopod
sandygast
palossand
pyukumuku
type null
silvally
minior
komala
turtonator
togedemaru
mimikyu
bruxish
drampa
dhelmise
jangmo-o
hakamo-o
kommo-o
grookey
thwackey
rillaboom
scorbunny
raboot
cinderace
sobble
drizzile
inteleon
skwovet
greedent
rookidee
corvisquire
corviknight
blipbug
dottler
orbeetle
nickit
thievul
gossifleur
eldegoss
wooloo
dubwool
chewtle
drednaw
yamper
boltund
rolycoly
carkol
coalossal
applin
flapple
appletun
silicobra
sandaconda
cramorant
arrokuda
barraskewda
toxel
toxtricity
sizzlipede
centiskorch
clobbopus
grapploct
sinistea
polteageist
hatenna
hattrem
hatterene
impidimp
morgrem
grimmsnarl
obstagoon
perrserker
cursola
sirfetch-d
mr rime
runerigus
milcery
alcremie
falinks
pincurchin
snom
frosmoth
stonjourner
eiscue
indeedee
morpeko
cufant
copperajah
dracozolt
arctozolt
dracovish
arctovish
duraladon
dreepy
drakloak
dragapult
wyrdeer
kleavor
ursaluna
basculegion
sneasler
overqwil
sprigatito
floragato
meowscarada
fuecoco
crocalor
skeledirge
quaxly
quaxwell
quaquaval
lechonk
oinkologne
tarountula
spidops
nymble
lokix
pawmi
pawmo
pawmot
tandemaus
maushold
fidough
dachsbun
smoliv
dolliv
arboliva
squawkabilly
nacli
naclstack
garganacl
charcadet
armarouge
ceruledge
tadbulb
bellibolt
wattrel
kilowattrel
maschiff
mabosstiff
shroodle
grafaiai
bramblin
brambleghast
toedscool
toedscruel
klawf
capsakid
scovillain
rellor
rabsca
flittle
espathra
tinkatink
tinkatuff
tinkaton
wiglett
wugtrio
bombirdier
finizen
palafin
varoom
revavroom
cyclizar
orthworm
glimmet
glimmora
greavard
houndstone
flamigo
cetoddle
cetitan
veluza
dondozo
tatsugiri
annihilape
clodsire
farigiraf
dudunsparce
kingambit
frigibax
arctibax
baxcalibur
gimmighoul
gholdengo
dipplin
poltchageist
sinistcha
archaludon
hydrapple
rattata-alola
raticate-alola
meowth-alola
persian-alola
grimer-alola
muk-alola
qwilfish-hisui
zigzagoon-galar
linoone-galar
samurott-hisui
exeggutor-alola
sliggoo-hisui
goodra-hisui
raichu-alola
geodude-alola
graveler-alola
golem-alola
voltorb-hisui
electrode-hisui
ninetales-alola
rapidash-galar
weezing-galar
farfetchd-galar
tauros-combat
sneasel-hisui
lilligant-hisui
decidueye-hisui
growlithe-hisui
arcanine-hisui
marowak-alola
typhlosion-hisui
braviary-hisui
yamask-galar
zorua-hisui
zoroark-hisui
diglett-alola
dugtrio-alola
stunfisk-galar
sandshrew-alola
sandslash-alola
vulpix-alola
mr mime-galar
darumaka-galar
darmanitan-galar
avalugg-hisui
slowbro-galar
wooper-paldea
slowking-galar
ponyta-galar
slowpoke-galar
meowth-galar
